,Movie_Title,Release_Year,URL_Movie_Names,Rottentomatoes_URLs
316,Indiana Jones and the Dial of Destiny,2023,indiana_jones_and_the_dial_of_destiny,https://web.archive.org/web/20240404103644/https://www.rottentomatoes.com/m/indiana_jones_and_the_dial_of_destiny
328,Io Capitano,2023,io_capitano,https://web.archive.org/web/20240409025206/https://www.rottentomatoes.com/m/io_capitano
349,Killers of the Flower Moon,2023,killers_of_the_flower_moon,https://web.archive.org/web/20240410065019/https://www.rottentomatoes.com/m/killers_of_the_flower_moon
428,Mission: Impossible - Dead Reckoning Part One,2023,mission_impossible_dead_reckoning_part_one,https://web.archive.org/web/20240415183847/https:/www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one
84,Barbie,2023,barbie,https://www.rottentomatoes.com/m/bar
708,The Lion King,2019,the_lion_king,https://web.archive.org/web/20240413022423/https://www.rottentomatoes.com/m/the_lion_king
